,icao,iata,name,city,lat,lon
226,07FA,OCA,Ocean Reef Club Airport,Key Largo,25.32432,-80.27573
306,0AA1,CYT,Yakataga Airport,Yakataga,60.08085,-142.49549
307,0AA4,FWL,Farewell Airport,Farewell,62.50918,-153.89063
341,0CO2,CSE,Crested Butte Airpark,Crested Butte,38.85194,-106.93282
451,0NM0,CUS,Columbus Municipal Airport,Columbus,31.82371,-107.62697
497,0TE7,JCY,Lbj Ranch Airport,Johnson City,30.25181,-98.62253
794,19AK,ICY,Icy Bay Airport,Icy Bay,59.96902,-141.66177
1314,2AK6,HGZ,Hog River Airport,Hogatza,66.17613,-155.68482
1416,2LA8,GWV,Fokker Field,Bush,30.59317,-89.87348
1832,38WA,BYW,Blakely Island Airport,Blakely Island,48.57899,-122.82629
1861,3AK5,DRF,Drift River Airport,Kenai,60.58887,-152.16198
1926,3IS8,BDF,Rinkenberger Airport,Bradford,41.23087,-89.61565
2010,3NY8,CTO,Calverton Executive Airpark,Calverton,40.9,-72.8
2888,5MS1,RFK,Rollang Field,Rolling Fork,32.95429,-90.84593
3108,65LA,BCS,Southern Seaplane Airport,Belle Chasse,29.86604,-90.02229
3611,78WA,CWS,Center Island Airport,Center Island,48.4901,-122.83212
3742,7NC2,DUF,Pine Island Airport,Corolla,36.2535,-75.78852
3821,7WA5,SSW,Stuart Island Airpark,Stuart Island,48.67288,-123.17575
3875,82CL,FOB,Fort Bragg Airport,Fort Bragg,39.47433,-123.79557
3914,84NE,MHN,Hooker County Airport,Mullen,42.04216,-101.05966
4017,89NY,AXB,Maxson Airfield,Alexandria Bay,44.31672,-75.89967
4209,8XS8,REE,Reese Airpark,Lubbock,33.59476,-102.04342
4566,AGAF,AFT,Afutara Aerodrome,Bila,-9.19139,160.94861
4567,AGAR,RNA,Ulawa Airport,Arona,-9.86054,161.97955
4568,AGAT,ATD,Uru Harbour Airport,Atoifi,-8.87333,161.011
4569,AGBA,VEV,Barakoma Airport,Barakoma,-7.91278,156.70599
4570,AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,-8.56203,158.11931
4571,AGEV,GEF,Geva Airport,Liangia,-7.57583,156.597
4572,AGGA,AKS,Auki Airport,Auki,-8.70257,160.68201
4573,AGGB,BNY,Bellona/Anua Airport,Anua,-11.30222,159.79833
4574,AGGC,CHY,Choiseul Bay Airport,,-6.71194,156.39611
4575,AGGE,BAS,Ballalae Airport,Ballalae,-6.99075,155.88666
4576,AGGF,FRE,Fera/Maringe Airport,Fera Island,-8.1075,159.577
4577,AGGH,HIR,Honiara International Airport,Honiara,-9.428,160.05499
4578,AGGI,MBU,Babanakira Airport,Mbambanakira,-9.7475,159.839
4579,AGGJ,AVU,Avu Avu Airport,,-9.86833,160.41056
4580,AGGK,IRA,Ngorangora Airport,Kirakira,-10.4497,161.89799
4581,AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,-10.7203,165.795
4582,AGGM,MUA,Munda Airport,,-8.32797,157.263
4583,AGGN,GZO,Nusatupe Airport,Gizo,-8.09778,156.864
4584,AGGO,MNY,Mono Airport,Stirling Island,-7.41694,155.565
4585,AGGP,PRS,Parasi Airport,Parasi,-9.64167,161.425
4586,AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,-11.5339,160.063
4587,AGGS,EGM,Sege Airport,Sege,-8.57889,157.87601
4588,AGGT,NNB,Santa Ana Airport,Santa Ana Island,-10.84799,162.45411
4589,AGGU,RUS,Marau Airport,Marau,-9.86167,160.825
4590,AGGV,VAO,Suavanao Airport,Suavanao,-7.58556,158.731
4591,AGGY,XYA,Yandina Airport,Yandina,-9.09282,159.21841
4592,AGKG,KGE,Kagau Island Airport,Kagau Island,-7.333,157.58299
4593,AGKW,KWS,Kwailabesi Airport,Kwailabesi,-8.36051,160.77513
4594,AGOK,GTA,Gatokae Airport,Gatokae,-8.73917,158.20306
4595,AGRC,RIN,Ringi Cove Airport,Ringi Cove,-8.12639,157.14301
4596,AGRM,RBV,Ramata Airport,Ramata,-8.16806,157.64301
4607,AK13,CEX,Chena Hot Springs Airport,Chena Hot Springs,65.05183,-146.04743
4617,AK26,SOL,Solomon State Field,Solomon,64.56064,-164.44233
4623,AK33,HED,Herendeen Bay Airport,Herendeen Bay,55.80139,-160.89925
4632,AK49,TWE,Taylor Airport,Taylor,65.67928,-164.79881
4649,AK71,LNI,Lonely Air Station,Lonely,70.91075,-153.24221
4653,AK75,CDL,Candle 2 Airport,Candle,65.90766,-161.92631
